sentence	paraphrase	reference
In this regard, the Domäne drew attention to their own facilities in the carriage house.	In this regard, attention was drawn by the Domäne to their own facilities in the carriage house.	Hier machte die Domäne auf ihr eigenes Angebot in der Remise aufmerksam.
A second autopsy, however, listed a different cause of death, according to Moore.	A different cause of death was, however, listed by a second autopsy, according to Moore.	Eine zweite Autopsie habe allerdings eine andere Todesursache ergeben, so Moore.
"In 2011, dozens of French lawmakers from that strongly Catholic country signed a petition for ""gender theory"" to be withdrawn from school textbooks."	"In 2011, a petition for "" gender theory "" to be withdrawn from school textbooks was signed by dozens of French lawmakers from that strongly Catholic country."	2011 unterzeichneten Dutzende französische Abgeordnete des streng katholischen Landes eine Petition, dass die „Geschlechtertheorie“ aus Schulbüchern entfernt werden solle.
"""Parenting is stressful enough without extra limitations, especially if you don't know the gender of your child,"" she told the parenting website."	"""Parenting is stressful enough without extra limitations, especially if you don't know the gender of your child,"" the parenting website was told by her."	„Das Elterndasein ist auch ohne weitere Einschränkungen schon stressig genug, besonders wenn man das Geschlecht des eigenen Kindes nicht kennt“, sagte sie der Elternwebsite.
"""I knew that I wasn't a girl,"" he told ABCNews.com."	"""I knew that I wasn't a girl,"" ABCNews.com were told by him."	„Ich wusste, dass ich kein Mädchen bin“, erklärte er gegenüber ABCNews.com
Because her androgen receptors are faulty, Katie developed female characteristics.	Because her androgen receptors are faulty, female characteristics were developed by Katie.	Wegen des Rezeptordefektes der Zielzellen für Testosteron entwickelte Katie weibliche Charakteristiken.
It empowers children to make the decision for themselves.	Children are empowered by it to make the decision for themselves.	Dadurch werden Kinder in die Lage versetzt, die Entscheidung selbst zu treffen.
Rescue workers took the girl to the hospital.	The girl was taken by rescue workers to the hospital.	Rettungskräfte brachten das Mädchen ins Krankenhaus.
The assailants also fired shots at a bus stop.	Shots were also fired by the assailants at a bus stop.	Die Täter schossen außerdem auf eine Bushaltestelle.
The majority of people put it to the back of their minds for as long as possible.	It is put by the majority of people to the back of their minds for as long as possible.	Die meisten verdrängen es, solange es geht.
Even the most recent statements from Snowden will not change this fact.	This fact will not be changed by even the most recent statements from Snowden.	Auch die jüngsten Äußerungen von Snowden würden daran nichts ändern.
The Hammereisenbach Music Society gave an open-air concert on the terrace of the Hammer Guest House.	An open - air concert was given by the Hammereisenbach Music Society on the terrace of the Hammer Guest House.	Der Musikverein Hammereisenbach gibt ein Platzkonzert auf der Terrasse des Gasthauses Hammer.
Around 50 listeners enjoyed the sounds of the Hammrich musicians.	The sounds of the Hammrich musicians were enjoyed by around 50 listeners.	Etwa 50 Zuhörer erfreuen sich an den Klängen der Hammricher Musiker.
"While Daley characterized the research as ""due diligence,"" Martin told CNN's Anderson Cooper that the re-election campaign made a significant investment in finding out whether the move would pay dividends at the polls."	"While Daley characterized the research as ""due diligence,"" CNN 's Anderson Cooper was told by Martin that the re-election campaign made a significant investment in finding out whether the move would pay dividends at the polls."	Während Daley die Untersuchungen als „gebotene Sorgfalt“ bezeichnete, sagte Martin gegenüber Anderson Cooper von CNN, dass während der Kampagne für die Wiederwahl erheblicher Aufwand betrieben worden sei, um herauszufinden, ob ein solcher Zug sich im Hinblick auf die Wahlurnen auszahle.
This mail server sends the content to the provider that Benni uses.	The content is sent by this mail server through to the provider that Benni uses.	Dieser Mail-Server schickt den Inhalt an den Provider, den Benni nutzt.
In the case of systems such as Gmail, the robots also identify the information that Google requires for displaying context-based advertising.	In the case of systems such as Gmail, the information that Google requires for displaying context - based advertising is also identified by the robots.	Bei Systemen wie GMail ermittelt der Roboter auch die Informationen, die Google zum Platzieren von Kontext-Werbung benötigt.
According to the statement, the man hid the woman in a forest near Helmstedt.	According to the statement, the woman was hidden by the man in a forest near Helmstedt.	Demnach versteckte der Mann die Frau in einem Wald in der Nähe von Helmstedt.
The pensioner told investigators that his mother had travelled to Spain.	Investigators were told by the pensioner that his mother had travelled to Spain.	Den Ermittlern erzählte der Rentner, seine Mutter sei nach Spanien gereist.
The 67-year-old finally acknowledged the death of his mother.	The death of his mother was finally acknowledged by the 67-year - old.	Der 67-Jährige habe schließlich den Tod seiner Mutter eingeräumt.
According to police, an autopsy showed no evidence of any capital offence.	According to police, no evidence of any capital offence was shown by an autopsy.	Eine Obduktion ergab laut Polizei keine Anhaltspunkte für ein Kapitalverbrechen.
Like us, Daverden place emphasis on high tempo play.	Like us, emphasis on high tempo play is placed by Daverden.	Auch Daverden setzt wie wir auf Tempospiel.
For this reason, we must keep our errors to a minimum.	For this reason, our errors are kept by us to a minimum.	Daher müssen wir unsere Fehlerquote gering halten.
In fact, Americans will spend $ 330 million on pet costumes this year, according to the NRF.	In fact, $ 330 million will be spent by Americans on pet costumes this year, according to the NRF.	Tatsächlich geben Amerikaner 330 Millionen Dollar dieses Jahr für Kostüme ihrer Haustiere aus, so der NRF.
Americans will spend $ 1.9 billion on it this year, according to The Nielsen Company.	$ 1.9 billion will be spent by americans on it this year, according to The Nielsen Company.	Amerikaner werden dieses Jahr 1,9 Milliarden Dollar dafür ausgeben, so The Nielsen Company.
This year, Americans will spend around $ 106 million on pumpkins, according to the U.S. Census Bureau.	This year, around $ 106 million will be spent by Americans on pumpkins, according to the U.S. Census Bureau.	Dieses Jahr werden Amerikaner etwa 106 Millionen Dollar für Kürbisse ausgeben, so das US Census Bureau.
During a fire in Helmbrechts, rescue services found a charred body in a three-bedroom house.	During a fire in Helmbrechts, a charred body was found by rescue services in a three-bedroom house.	Rettungskräfte haben bei einem Brand in Helmbrechts eine verkohlte Leiche in einem Dreifamilienhaus gefunden.
The entire ground floor suffered damage.	Damage was suffered by the entire ground floor.	Das gesamte Erdgeschoss wurde beschädigt.
Theology courses offer broad training.	Broad training is offered by theology courses.	Das Theologiestudium biete eine breite Ausbildung.
At around 2.15pm on Wednesday, an eagle-eyed dog walker spotted Ruby on the ledge in the quarry, stranded 50 ft up.	At around 2.15pm on Wednesday, Ruby was spotted by an eagle - eyed dog walker on the ledge in the quarry, stranded 50 ft up.	Etwa gegen 14:15 Uhr am Mittwoch sah ein Spaziergänger, der seinen Hund ausführte, die gestrandete Ruby auf dem 15 Meter hohen Absatz im Steinbruch.
She was eating biscuits afterwards.	Biscuits were being eaten by her afterwards.	Sie hat anschließend ein paar Hundekuchen gefressen.
Other doctors attending the AAP conference reinforced the complexities of the topic.	The complexities of the topic were reinforced by other doctors attending the AAP conference.	Andere Ärzte auf der AAP-Konferenz unterstrichen die Komplexität des Themas.
Globe-trotting jet sellers even carry tape measures to check on competing layouts.	Tape measures to check on competing layouts are even carried by globe - trotting jet sellers.	Die weltreisenden Jet-Verkäufer tragen sogar Bandmaß bei sich, um die Einrichtung bei der Konkurrenz nachzumessen.
Until recently, Airbus was stressing the need for more cabin customization by offering wider aisle seats on some of its jets.	Until recently, the need for more cabin customization was being stressed by Airbus by offering wider aisle seats on some of its jets.	Bis vor kurzem hat Airbus betont, wie wichtig mehr Anpassbarkeit der Kabinen sei und für einige Jets breite Sitze an den Gängen angeboten.
The virus selectively infects liver cells, which then start to make a steady stream of the antibodies.	Liver cells , which then start to make a steady stream of the antibodies are selectively infected by the virus.	Der Virus infiziert selektiv die Leberzellen, die dann einen ständigen Strom von Antikörpern produzieren.
"""Was the matter being discussed in the course of these telephone conversations the development of the commercial lease policy,"" Assistant Commissioner Anthony Whealy asked Mr Tripodi."	"""Was the matter being discussed in the course of these telephone conversations the development of the commercial lease policy,"" Mr Tripodi was asked by Assistant Commissioner Anthony Whealy."	„War das in diesen Telefongesprächen besprochene Thema die Ausarbeitung der kommerziellen Verpachtungsregelungen?“, fragte das stellvertretende Kommissionsmitglied Anthony Whealy Tripodi.
